Sequence 1, is of length 4080, mapped to Original, on beginning location of: 11173
Sequence 160, is of length 2445, mapped to Original, on beginning location of: 1694888
Sequence 163, is of length 1407, mapped to Complement, on beginning location of: 740068
Sequence 166, is of length 5406, mapped to Original, on beginning location of: 46363
Sequence 169, is of length 4450, mapped to Complement, on beginning location of: 3684
Sequence 172, is of length 1445, mapped to Original, on beginning location of: 14039
Sequence 175, is of length 7796, mapped to Original, on beginning location of: 87161
Sequence 178, is of length 1417, mapped to Original, on beginning location of: 4164225
Sequence 181, is of length 7464, mapped to Complement, on beginning location of: 2290418
Sequence 184, is of length 1033, mapped to Original, on beginning location of: 9673
Sequence 187, is of length 12092, mapped to Complement, on beginning location of: 2258186
Sequence 190, is of length 5661, mapped to Complement, on beginning location of: 11661
Sequence 193, is of length 1012, mapped to Complement, on beginning location of: 386274
Sequence 196, is of length 1940, mapped to Complement, on beginning location of: 1697807
Sequence 199, is of length 1201, mapped to Complement, on beginning location of: 3605279
Sequence 202, is of length 7036, mapped to Original, on beginning location of: 35192
Sequence 205, is of length 5198, mapped to Complement, on beginning location of: 19827
Sequence 208, is of length 3955, mapped to Original, on beginning location of: 3880343
Sequence 211, is of length 7653, mapped to Complement, on beginning location of: 32526
Sequence 214, is of length 9173, mapped to Complement, on beginning location of: 3985016
Sequence 217, is of length 9440, mapped to Original, on beginning location of: 10597
Sequence 220, is of length 2430, mapped to Original, on beginning location of: 43127
Sequence 223, is of length 4673, mapped to Original, on beginning location of: 816700
Sequence 226, is of length 1115, mapped to Original, on beginning location of: 2605686
Sequence 229, is of length 9485, mapped to Complement, on beginning location of: 1933033
Sequence 232, is of length 5729, mapped to Original, on beginning location of: 2935144
Sequence 235, is of length 5437, mapped to Complement, on beginning location of: 3029605
Sequence 238, is of length 2337, mapped to Complement, on beginning location of: 2730378
Sequence 241, is of length 10675, mapped to Complement, on beginning location of: 34864
Sequence 244, is of length 1923, mapped to Complement, on beginning location of: 6344
Sequence 247, is of length 5480, mapped to Original, on beginning location of: 12668
Sequence 250, is of length 4236, mapped to Original, on beginning location of: 3157703
Sequence 253, is of length 6255, mapped to Complement, on beginning location of: 177142
Sequence 256, is of length 8212, mapped to Original, on beginning location of: 2681599
Sequence 259, is of length 9628, mapped to Complement, on beginning location of: 18595
Sequence 262, is of length 6887, mapped to Complement, on beginning location of: 791500
Sequence 265, is of length 1669, mapped to Complement, on beginning location of: 23372
Sequence 268, is of length 1050, mapped to Original, on beginning location of: 1937726
Sequence 271, is of length 1972, mapped to Complement, on beginning location of: 1567681
Sequence 274, is of length 4388, mapped to Original, on beginning location of: 611015
Sequence 277, is of length 2332, mapped to Original, on beginning location of: 13979
Sequence 280, is of length 8778, mapped to Original, on beginning location of: 17618
Sequence 283, is of length 2900, mapped to Original, on beginning location of: 611645
Sequence 286, is of length 5469, mapped to Original, on beginning location of: 4615536
Sequence 289, is of length 3910, mapped to Original, on beginning location of: 36646
Sequence 292, is of length 4385, mapped to Complement, on beginning location of: 2749716
Sequence 295, is of length 2016, mapped to Original, on beginning location of: 8716
Sequence 298, is of length 5090, mapped to Complement, on beginning location of: 2158882
Sequence 301, is of length 9036, mapped to Complement, on beginning location of: 1589163
Sequence 304, is of length 2437, mapped to Original, on beginning location of: 41459
Sequence 307, is of length 3878, mapped to Complement, on beginning location of: 650612
Sequence 310, is of length 9324, mapped to Original, on beginning location of: 15047
Sequence 313, is of length 4775, mapped to Complement, on beginning location of: 2610848
Sequence 316, is of length 5549, mapped to Complement, on beginning location of: 30570
Sequence 319, is of length 3657, mapped to Complement, on beginning location of: 2616179
Sequence 322, is of length 10438, mapped to Original, on beginning location of: 28944
Sequence 325, is of length 4189, mapped to Complement, on beginning location of: 18301
Sequence 328, is of length 7794, mapped to Original, on beginning location of: 4318759
Sequence 331, is of length 1162, mapped to Original, on beginning location of: 22278
Sequence 334, is of length 1900, mapped to Complement, on beginning location of: 24714
Sequence 337, is of length 3417, mapped to Original, on beginning location of: 7681
Sequence 340, is of length 6976, mapped to Original, on beginning location of: 2759660
Sequence 343, is of length 4771, mapped to Original, on beginning location of: 1554792
Sequence 346, is of length 2610, mapped to Complement, on beginning location of: 3752501
Sequence 349, is of length 6132, mapped to Complement, on beginning location of: 19498
Sequence 352, is of length 7897, mapped to Complement, on beginning location of: 1217609
Sequence 355, is of length 1504, mapped to Original, on beginning location of: 1150928
Sequence 358, is of length 2662, mapped to Complement, on beginning location of: 3374003
Sequence 361, is of length 1351, mapped to Complement, on beginning location of: 607906
Sequence 364, is of length 8231, mapped to Complement, on beginning location of: 11231
Sequence 367, is of length 5252, mapped to Original, on beginning location of: 41073
Sequence 370, is of length 1111, mapped to Complement, on beginning location of: 32817
Sequence 373, is of length 10860, mapped to Original, on beginning location of: 18354
Sequence 376, is of length 1533, mapped to Complement, on beginning location of: 2419968
Sequence 379, is of length 8028, mapped to Original, on beginning location of: 2488731
Sequence 382, is of length 4042, mapped to Original, on beginning location of: 2279528
Sequence 385, is of length 10503, mapped to Original, on beginning location of: 3354535
Sequence 388, is of length 3150, mapped to Original, on beginning location of: 20196
Sequence 391, is of length 3740, mapped to Original, on beginning location of: 2851547
Sequence 394, is of length 1761, mapped to Original, on beginning location of: 3465729
Sequence 397, is of length 6385, mapped to Complement, on beginning location of: 14226
Sequence 400, is of length 4256, mapped to Complement, on beginning location of: 4235914
Sequence 403, is of length 6310, mapped to Original, on beginning location of: 230210
Sequence 406, is of length 9248, mapped to Original, on beginning location of: 809522
Sequence 409, is of length 5407, mapped to Original, on beginning location of: 411730
Sequence 412, is of length 7548, mapped to Original, on beginning location of: 42390
Sequence 415, is of length 1744, mapped to Complement, on beginning location of: 1485282
Sequence 418, is of length 1956, mapped to Complement, on beginning location of: 31848
Sequence 421, is of length 2258, mapped to Complement, on beginning location of: 21272
Sequence 424, is of length 4411, mapped to Original, on beginning location of: 248713
Sequence 427, is of length 995, mapped to Original, on beginning location of: 1679234
Sequence 430, is of length 5397, mapped to Original, on beginning location of: 18032
Sequence 433, is of length 2418, mapped to Original, on beginning location of: 21272
Sequence 436, is of length 3548, mapped to Original, on beginning location of: 3684
Sequence 439, is of length 3039, mapped to Complement, on beginning location of: 25894
Sequence 442, is of length 2728, mapped to Complement, on beginning location of: 11069
Sequence 445, is of length 5478, mapped to Complement, on beginning location of: 2946537
Sequence 448, is of length 9162, mapped to Complement, on beginning location of: 2496733
Sequence 451, is of length 2847, mapped to Complement, on beginning location of: 4053228
Sequence 454, is of length 9076, mapped to Complement, on beginning location of: 8344
Sequence 457, is of length 4600, mapped to Original, on beginning location of: 2803975
Sequence 460, is of length 1201, mapped to Original, on beginning location of: 3053358
Sequence 463, is of length 2722, mapped to Complement, on beginning location of: 632419
Sequence 466, is of length 1837, mapped to Original, on beginning location of: 26930
Sequence 469, is of length 8817, mapped to Complement, on beginning location of: 3992062
Sequence 472, is of length 5996, mapped to Original, on beginning location of: 49243
Sequence 475, is of length 2215, mapped to Original, on beginning location of: 11379
Sequence 478, is of length 2740, mapped to Complement, on beginning location of: 36420
Sequence 481, is of length 6237, mapped to Original, on beginning location of: 2621771
Sequence 484, is of length 3022, mapped to Original, on beginning location of: 2665
Sequence 487, is of length 8365, mapped to Complement, on beginning location of: 18474
Sequence 490, is of length 5831, mapped to Complement, on beginning location of: 2751503
Sequence 493, is of length 3273, mapped to Complement, on beginning location of: 38628
Sequence 496, is of length 1231, mapped to Complement, on beginning location of: 36646
Sequence 499, is of length 8834, mapped to Original, on beginning location of: 3508613
Sequence 502, is of length 6831, mapped to Complement, on beginning location of: 920338
Sequence 505, is of length 7670, mapped to Original, on beginning location of: 10186
Sequence 508, is of length 4919, mapped to Original, on beginning location of: 2139701
Sequence 511, is of length 2602, mapped to Complement, on beginning location of: 2402557
Sequence 514, is of length 2257, mapped to Complement, on beginning location of: 13023
Sequence 517, is of length 9050, mapped to Original, on beginning location of: 1151173
Sequence 520, is of length 10231, mapped to Complement, on beginning location of: 3293806
Sequence 523, is of length 2218, mapped to Original, on beginning location of: 3483626
Sequence 526, is of length 4993, mapped to Original, on beginning location of: 2392069
Sequence 529, is of length 3209, mapped to Original, on beginning location of: 516746
Sequence 532, is of length 4149, mapped to Complement, on beginning location of: 2040
Sequence 535, is of length 1126, mapped to Original, on beginning location of: 2605686
Sequence 538, is of length 3715, mapped to Complement, on beginning location of: 1937726
Sequence 541, is of length 1247, mapped to Original, on beginning location of: 1155811
Sequence 544, is of length 3984, mapped to Complement, on beginning location of: 23676
Sequence 547, is of length 4101, mapped to Complement, on beginning location of: 782170
Sequence 550, is of length 3337, mapped to Original, on beginning location of: 3106920
Sequence 553, is of length 9644, mapped to Original, on beginning location of: 3306782
Sequence 556, is of length 6056, mapped to Original, on beginning location of: 3087829
Sequence 559, is of length 2600, mapped to Original, on beginning location of: 45695
Sequence 562, is of length 9460, mapped to Complement, on beginning location of: 2922117
Sequence 565, is of length 1392, mapped to Original, on beginning location of: 36658
Sequence 568, is of length 10575, mapped to Complement, on beginning location of: 18474
Sequence 571, is of length 5643, mapped to Complement, on beginning location of: 2159305
Sequence 574, is of length 3503, mapped to Original, on beginning location of: 461067
Sequence 577, is of length 4468, mapped to Original, on beginning location of: 1401322
Sequence 580, is of length 4325, mapped to Original, on beginning location of: 176019
Sequence 583, is of length 8015, mapped to Original, on beginning location of: 10471
Sequence 586, is of length 12070, mapped to Original, on beginning location of: 1848538
Sequence 589, is of length 5715, mapped to Complement, on beginning location of: 3533322
Sequence 592, is of length 6005, mapped to Original, on beginning location of: 18595
Sequence 595, is of length 1569, mapped to Complement, on beginning location of: 2562527
Sequence 598, is of length 4454, mapped to Original, on beginning location of: 12151
Sequence 601, is of length 2889, mapped to Complement, on beginning location of: 662470
Sequence 604, is of length 7765, mapped to Original, on beginning location of: 1761746
Sequence 607, is of length 7012, mapped to Complement, on beginning location of: 166204
Sequence 610, is of length 2573, mapped to Original, on beginning location of: 4173313
Sequence 613, is of length 1538, mapped to Original, on beginning location of: 4505799
Sequence 616, is of length 3973, mapped to Complement, on beginning location of: 22278
Sequence 619, is of length 1783, mapped to Original, on beginning location of: 26930
Sequence 622, is of length 2057, mapped to Original, on beginning location of: 1957410
Sequence 625, is of length 5536, mapped to Complement, on beginning location of: 3496
Sequence 628, is of length 1376, mapped to Complement, on beginning location of: 4397752
Sequence 631, is of length 3563, mapped to Original, on beginning location of: 3441841
Sequence 634, is of length 6211, mapped to Complement, on beginning location of: 24976
Sequence 637, is of length 4228, mapped to Original, on beginning location of: 1275
Sequence 640, is of length 4030, mapped to Complement, on beginning location of: 386274
Sequence 643, is of length 4746, mapped to Complement, on beginning location of: 1330374
Sequence 646, is of length 8115, mapped to Original, on beginning location of: 721299
Sequence 649, is of length 7600, mapped to Original, on beginning location of: 24844
Sequence 652, is of length 2254, mapped to Complement, on beginning location of: 3227432
Sequence 655, is of length 2708, mapped to Complement, on beginning location of: 32764
Sequence 658, is of length 1959, mapped to Complement, on beginning location of: 3954019
Sequence 661, is of length 4011, mapped to Original, on beginning location of: 2279942
Sequence 664, is of length 1194, mapped to Original, on beginning location of: 3663725
Sequence 667, is of length 9508, mapped to Complement, on beginning location of: 37768
Sequence 670, is of length 7031, mapped to Original, on beginning location of: 8042
Sequence 673, is of length 1622, mapped to Complement, on beginning location of: 3866017
Sequence 676, is of length 2320, mapped to Original, on beginning location of: 25562
Sequence 679, is of length 5085, mapped to Original, on beginning location of: 12896
Sequence 682, is of length 1809, mapped to Complement, on beginning location of: 1916261
Sequence 685, is of length 2102, mapped to Complement, on beginning location of: 2557089
Sequence 688, is of length 3594, mapped to Complement, on beginning location of: 2927347
Sequence 691, is of length 1040, mapped to Complement, on beginning location of: 2533040
Sequence 694, is of length 3953, mapped to Complement, on beginning location of: 3064543
Sequence 697, is of length 3048, mapped to Original, on beginning location of: 637754
Sequence 700, is of length 1361, mapped to Complement, on beginning location of: 2329153
Sequence 703, is of length 3393, mapped to Original, on beginning location of: 2036825
Sequence 706, is of length 6788, mapped to Complement, on beginning location of: 3053358
Sequence 709, is of length 7515, mapped to Complement, on beginning location of: 2922003
Sequence 712, is of length 2784, mapped to Complement, on beginning location of: 1623
Sequence 715, is of length 1998, mapped to Original, on beginning location of: 177142
Sequence 718, is of length 7362, mapped to Original, on beginning location of: 1954645
Sequence 721, is of length 6082, mapped to Complement, on beginning location of: 3893790
Sequence 724, is of length 3053, mapped to Complement, on beginning location of: 7561
Sequence 727, is of length 3424, mapped to Complement, on beginning location of: 419262
Sequence 730, is of length 1144, mapped to Original, on beginning location of: 3007893
Sequence 733, is of length 8239, mapped to Complement, on beginning location of: 30967
Sequence 736, is of length 1419, mapped to Complement, on beginning location of: 29939
Sequence 739, is of length 1144, mapped to Original, on beginning location of: 14151
Sequence 742, is of length 1147, mapped to Original, on beginning location of: 740068
Sequence 745, is of length 2207, mapped to Complement, on beginning location of: 30858
Sequence 748, is of length 1457, mapped to Complement, on beginning location of: 24003
Sequence 751, is of length 9200, mapped to Original, on beginning location of: 4545307
Sequence 754, is of length 9320, mapped to Complement, on beginning location of: 3448028
Sequence 757, is of length 2404, mapped to Complement, on beginning location of: 1462
Sequence 760, is of length 7454, mapped to Complement, on beginning location of: 1240898
Sequence 763, is of length 4372, mapped to Complement, on beginning location of: 13334
Sequence 766, is of length 3662, mapped to Original, on beginning location of: 2915469
Sequence 769, is of length 2915, mapped to Complement, on beginning location of: 3575874
Sequence 772, is of length 7606, mapped to Complement, on beginning location of: 6190
Sequence 775, is of length 5982, mapped to Original, on beginning location of: 18595
Sequence 778, is of length 5200, mapped to Original, on beginning location of: 2593
Sequence 781, is of length 3348, mapped to Complement, on beginning location of: 33191
Sequence 784, is of length 5388, mapped to Original, on beginning location of: 1724860
Sequence 787, is of length 4308, mapped to Original, on beginning location of: 668355
Sequence 790, is of length 7585, mapped to Original, on beginning location of: 40118
Sequence 793, is of length 5039, mapped to Complement, on beginning location of: 30607
Sequence 796, is of length 2912, mapped to Complement, on beginning location of: 956115
Sequence 799, is of length 2636, mapped to Complement, on beginning location of: 19935
Sequence 802, is of length 6090, mapped to Original, on beginning location of: 3496
Sequence 805, is of length 5428, mapped to Complement, on beginning location of: 747084
Sequence 808, is of length 1286, mapped to Original, on beginning location of: 4554651
Sequence 811, is of length 1541, mapped to Complement, on beginning location of: 1150212
Sequence 814, is of length 8209, mapped to Original, on beginning location of: 4455639
Sequence 817, is of length 2360, mapped to Original, on beginning location of: 3494440
Sequence 820, is of length 1750, mapped to Original, on beginning location of: 3547152
Sequence 823, is of length 5680, mapped to Original, on beginning location of: 4029985
Sequence 826, is of length 8861, mapped to Original, on beginning location of: 1028545
Sequence 829, is of length 1637, mapped to Complement, on beginning location of: 43990
Sequence 832, is of length 1191, mapped to Complement, on beginning location of: 2961188
Sequence 835, is of length 8338, mapped to Complement, on beginning location of: 3533322
Sequence 838, is of length 3956, mapped to Original, on beginning location of: 1786383
Sequence 841, is of length 8957, mapped to Complement, on beginning location of: 600605
Sequence 844, is of length 2984, mapped to Original, on beginning location of: 19372
Sequence 847, is of length 8156, mapped to Complement, on beginning location of: 405980
Sequence 850, is of length 3630, mapped to Original, on beginning location of: 2918469
Sequence 853, is of length 3017, mapped to Complement, on beginning location of: 3684974
Sequence 856, is of length 2040, mapped to Original, on beginning location of: 2155550
Sequence 859, is of length 2256, mapped to Original, on beginning location of: 2766375
Sequence 862, is of length 2977, mapped to Complement, on beginning location of: 2533810
Sequence 865, is of length 3033, mapped to Complement, on beginning location of: 2699155
Sequence 868, is of length 2170, mapped to Complement, on beginning location of: 3306782
Sequence 871, is of length 1922, mapped to Complement, on beginning location of: 1845566
Sequence 874, is of length 1866, mapped to Complement, on beginning location of: 38715
Sequence 877, is of length 3586, mapped to Complement, on beginning location of: 763438
Sequence 880, is of length 7736, mapped to Complement, on beginning location of: 3771345
Sequence 883, is of length 1345, mapped to Original, on beginning location of: 27780
Sequence 886, is of length 3853, mapped to Complement, on beginning location of: 2302703
Sequence 889, is of length 1144, mapped to Complement, on beginning location of: 1604
Sequence 892, is of length 7083, mapped to Complement, on beginning location of: 3678877
Sequence 895, is of length 1154, mapped to Complement, on beginning location of: 3685762
Sequence 898, is of length 9254, mapped to Original, on beginning location of: 2854015
Sequence 901, is of length 3507, mapped to Complement, on beginning location of: 3787330
Sequence 904, is of length 5685, mapped to Original, on beginning location of: 2922003
Sequence 907, is of length 2547, mapped to Complement, on beginning location of: 902
Sequence 910, is of length 8286, mapped to Original, on beginning location of: 30704
Sequence 913, is of length 2745, mapped to Original, on beginning location of: 1004
Sequence 916, is of length 4583, mapped to Complement, on beginning location of: 18506
Sequence 919, is of length 3204, mapped to Original, on beginning location of: 516746
Sequence 922, is of length 1595, mapped to Original, on beginning location of: 918774
Sequence 925, is of length 10496, mapped to Complement, on beginning location of: 4614211
Sequence 928, is of length 2166, mapped to Original, on beginning location of: 1688368
Sequence 931, is of length 5680, mapped to Original, on beginning location of: 11108
Sequence 934, is of length 8513, mapped to Original, on beginning location of: 1245001
Sequence 937, is of length 11343, mapped to Complement, on beginning location of: 4615536
Sequence 940, is of length 8742, mapped to Complement, on beginning location of: 43311
Sequence 943, is of length 6963, mapped to Original, on beginning location of: 22054
Sequence 946, is of length 1115, mapped to Complement, on beginning location of: 3911188
Sequence 949, is of length 2552, mapped to Original, on beginning location of: 1549577
Sequence 952, is of length 5398, mapped to Original, on beginning location of: 12601
Sequence 955, is of length 6833, mapped to Complement, on beginning location of: 410714
Sequence 958, is of length 1906, mapped to Original, on beginning location of: 3867525
Sequence 961, is of length 5722, mapped to Complement, on beginning location of: 3060034
Sequence 964, is of length 1540, mapped to Original, on beginning location of: 4661
Sequence 967, is of length 1642, mapped to Complement, on beginning location of: 323
Sequence 970, is of length 8735, mapped to Complement, on beginning location of: 2284548
Sequence 973, is of length 1702, mapped to Complement, on beginning location of: 3143597
Sequence 976, is of length 6294, mapped to Original, on beginning location of: 1038655
Sequence 979, is of length 5999, mapped to Complement, on beginning location of: 1545113
Sequence 982, is of length 1178, mapped to Original, on beginning location of: 740068
Sequence 985, is of length 3328, mapped to Original, on beginning location of: 2851755
Sequence 988, is of length 6896, mapped to Complement, on beginning location of: 29274
Sequence 991, is of length 1418, mapped to Original, on beginning location of: 4322524
Sequence 994, is of length 3445, mapped to Complement, on beginning location of: 2491126
Sequence 997, is of length 5191, mapped to Complement, on beginning location of: 2570508
Sequence 1000, is of length 9026, mapped to Original, on beginning location of: 2320096
Sequence 1003, is of length 5435, mapped to Complement, on beginning location of: 1282844
Sequence 1006, is of length 2197, mapped to Original, on beginning location of: 3143597
Sequence 1009, is of length 1304, mapped to Complement, on beginning location of: 4592686
Sequence 1012, is of length 15978, mapped to Original, on beginning location of: 1029328
Sequence 1015, is of length 4333, mapped to Complement, on beginning location of: 3058366
Sequence 1018, is of length 5315, mapped to Complement, on beginning location of: 1713138
Sequence 1021, is of length 9603, mapped to Original, on beginning location of: 3325553
Sequence 1024, is of length 2547, mapped to Complement, on beginning location of: 304769
Sequence 1027, is of length 2112, mapped to Complement, on beginning location of: 1512099
Sequence 1030, is of length 3003, mapped to Complement, on beginning location of: 4122132
Sequence 1033, is of length 1532, mapped to Complement, on beginning location of: 3658697
Sequence 1036, is of length 6138, mapped to Complement, on beginning location of: 34588
Sequence 1039, is of length 4867, mapped to Original, on beginning location of: 30308
Sequence 1042, is of length 1523, mapped to Complement, on beginning location of: 33047
Sequence 1045, is of length 2457, mapped to Original, on beginning location of: 264581
Sequence 1048, is of length 1321, mapped to Complement, on beginning location of: 815987
Sequence 1051, is of length 5156, mapped to Complement, on beginning location of: 1497892
Sequence 1054, is of length 6465, mapped to Complement, on beginning location of: 338309
Sequence 1057, is of length 1247, mapped to Original, on beginning location of: 19498
Sequence 1060, is of length 1514, mapped to Complement, on beginning location of: 39170
Sequence 1063, is of length 3441, mapped to Original, on beginning location of: 7452
Sequence 1066, is of length 7162, mapped to Complement, on beginning location of: 3108344
Sequence 1069, is of length 3932, mapped to Complement, on beginning location of: 3627029
Sequence 1072, is of length 8589, mapped to Original, on beginning location of: 30908
Sequence 1075, is of length 1551, mapped to Complement, on beginning location of: 1567681
Sequence 1078, is of length 7190, mapped to Original, on beginning location of: 13392
Sequence 1081, is of length 7969, mapped to Original, on beginning location of: 16228
Sequence 1084, is of length 2874, mapped to Complement, on beginning location of: 3842001
Sequence 1087, is of length 2625, mapped to Complement, on beginning location of: 2137761
Sequence 1090, is of length 5941, mapped to Complement, on beginning location of: 2428480
Sequence 1093, is of length 1078, mapped to Complement, on beginning location of: 12926
Sequence 1096, is of length 5161, mapped to Complement, on beginning location of: 30959
Sequence 1099, is of length 9786, mapped to Original, on beginning location of: 20943
Sequence 1102, is of length 11260, mapped to Complement, on beginning location of: 31848
Sequence 1105, is of length 11486, mapped to Original, on beginning location of: 1135954
Sequence 1108, is of length 4913, mapped to Complement, on beginning location of: 43396
Sequence 1111, is of length 2696, mapped to Complement, on beginning location of: 1493592
Sequence 1114, is of length 4967, mapped to Complement, on beginning location of: 27114
Sequence 1117, is of length 5878, mapped to Complement, on beginning location of: 1696411
Sequence 1120, is of length 3600, mapped to Original, on beginning location of: 1657435
Sequence 1123, is of length 9268, mapped to Complement, on beginning location of: 41075
Sequence 1126, is of length 7188, mapped to Original, on beginning location of: 2617810
Sequence 1129, is of length 5997, mapped to Complement, on beginning location of: 937699
Sequence 1132, is of length 1217, mapped to Original, on beginning location of: 1913497
Sequence 1135, is of length 10945, mapped to Original, on beginning location of: 963885
Sequence 1138, is of length 1981, mapped to Complement, on beginning location of: 3392114
Sequence 1141, is of length 4827, mapped to Original, on beginning location of: 3437623
Sequence 1144, is of length 2200, mapped to Complement, on beginning location of: 2004470
Sequence 1147, is of length 5713, mapped to Original, on beginning location of: 21984
Sequence 1150, is of length 3183, mapped to Original, on beginning location of: 2367
Sequence 1153, is of length 3785, mapped to Original, on beginning location of: 7534
Sequence 1156, is of length 5938, mapped to Complement, on beginning location of: 2054995
Sequence 1159, is of length 1188, mapped to Complement, on beginning location of: 5994
Sequence 1162, is of length 9163, mapped to Original, on beginning location of: 3147555
Sequence 1165, is of length 1644, mapped to Complement, on beginning location of: 3854433
Sequence 1168, is of length 7915, mapped to Complement, on beginning location of: 2498483
Sequence 1171, is of length 7032, mapped to Complement, on beginning location of: 18833
Sequence 1174, is of length 2065, mapped to Original, on beginning location of: 3907372
Sequence 1177, is of length 8385, mapped to Complement, on beginning location of: 273
Sequence 1180, is of length 2784, mapped to Complement, on beginning location of: 1589354
Sequence 1183, is of length 5607, mapped to Complement, on beginning location of: 455677
Sequence 1186, is of length 9523, mapped to Complement, on beginning location of: 859380
Sequence 1189, is of length 4305, mapped to Complement, on beginning location of: 1320114
Sequence 1192, is of length 4739, mapped to Complement, on beginning location of: 356953
Sequence 1195, is of length 6164, mapped to Original, on beginning location of: 3405228
Sequence 1198, is of length 2424, mapped to Complement, on beginning location of: 402575
Sequence 1201, is of length 5794, mapped to Complement, on beginning location of: 3272998
Sequence 1204, is of length 5505, mapped to Complement, on beginning location of: 2040
Sequence 1207, is of length 3990, mapped to Complement, on beginning location of: 1169036
Sequence 1210, is of length 6005, mapped to Complement, on beginning location of: 1462
Sequence 1213, is of length 1990, mapped to Complement, on beginning location of: 926531
Sequence 1216, is of length 3499, mapped to Complement, on beginning location of: 24833
Sequence 1219, is of length 10328, mapped to Complement, on beginning location of: 1365214
Sequence 1222, is of length 3324, mapped to Original, on beginning location of: 2867764
Sequence 1225, is of length 4058, mapped to Complement, on beginning location of: 491
Sequence 1228, is of length 3159, mapped to Complement, on beginning location of: 3969926
Sequence 1231, is of length 4925, mapped to Complement, on beginning location of: 4454213
Sequence 1234, is of length 2548, mapped to Complement, on beginning location of: 188750
Sequence 1237, is of length 5950, mapped to Complement, on beginning location of: 411730
Sequence 1240, is of length 5852, mapped to Complement, on beginning location of: 3907810
Sequence 1243, is of length 3377, mapped to Complement, on beginning location of: 9819
Sequence 1246, is of length 1661, mapped to Complement, on beginning location of: 3388380
Sequence 1249, is of length 4079, mapped to Complement, on beginning location of: 45539
Sequence 1252, is of length 7038, mapped to Complement, on beginning location of: 16911
Sequence 1255, is of length 4754, mapped to Original, on beginning location of: 3705051
Sequence 1258, is of length 2110, mapped to Complement, on beginning location of: 419915
